title,content,type
A still moment,"Take a moment.
Put the worries behind.
Take in the beauty around.
Let it relax your mind.

Watch the golden glow
Of the rising morning sun.
Embrace the peaceful aura
Of the break of dawn.

Savor the soft caress
Of the gently moving breeze.
Listen to its nifty tune
Among the swaying trees.

Enjoy the lovely scene
Of a floating butterfly.
Graceful flight and happy tweets
Of a bird perched up high.

Peruse the evening sky
In its dazzling splendor.
The wide and open pallet
Merging shapes and colors.

Relish the loving sight
Of children having fun,
Skipping feet and carefree voices
Under the setting sun.

Spare a still moment
Every once in a while.
Take in the beauty around.
Take it in with a smile.

",Nature
Wind on the hill,"No one can tell me,
Nobody knows,
Where the wind comes from,
Where the wind goes.

It's flying from somewhere
As fast as it can,
I couldn't keep up with it,
Not if I ran.

But if I stopped holding
The string of my kite,
It would blow with the wind
For a day and a night.

And then when I found it,
Wherever it blew,
I should know that the wind
Had been going there too.

So then I could tell them
Where the wind goes 
But where the wind comes from
Nobody knows.
",Nature
Lessons From Nature,"I watch the waves crash in, breaking on the shore
All their anger dispensed on the oceans floor
I look at the sky so blue, sun shining so bright
Spreading heat and happiness with its blinding light
Long blades of grass swaying in the gentle breeze
Dancing in rhythm with so much ease
Look up at the trees hearing the singing of the birds
Happily chirping singing at ease without words
Sitting here holding my knees to my chest
Watching and hearing nature at its best
I ponder how Nature could get it so right
When we have let Nature's lessons get so out of sight
We hold our anger, let our happiness slip away
Making our survival a struggle each and every day
We have forgotten the little things that mean so much
Like the laughter, the freedom, and someone's loving touch
If only I could make people stop, watch and listen to Natures tale
We could all sit back happily and our world would not be so frail
In each others existence in harmony we could all survive
I'm sure like the sun, wind, tree, and birds our lives we could revive
If only we let nature take its course in each and every one of us each day and night
As I sit and ponder how Nature got it so right and we lost all sight.

",Nature
Colors,"I live in a world of yellow and green,
An abundance of colors rarely seen,

With swirling seas of silver and gold,
And crystal mountain tops never foretold,

Sky of amber and clouds of peach,
I picture myself on a pink satin beach.

So open your eyes and let the colors shine through, 
As the colors were made for me and for you

",Nature
Midnight Wonders,"I was tossing in my bed
in the midnight hour,
struggling to get a wink of sleep,
but my eyes lay on the clock tower.

I looked upon the dark sky;
it was adored with sparkling pearls,
which giggled at me
and put a shine to my curls.

I gazed at the chubby moon,
who was white and glistening like milk.
Gave me a lovely, motherly smile
through her lips as rosy pink.

Suddenly, I spotted a shooting star,
as fast as a bullet train.
Behind it was a trail of glittering dust,
which appeared as a long diamond chain.

The dark sky was a dominating evil queen,
who covered the world with her black cape,
captured the stars and the moon,
so their lovely light could not escape.

All these magnificent objects
made my mind calm.
My eyelids started drooping.
I was grateful for their wonderful charm.

Nature had arrived to aid me
when I was trying to catch sleep.
She, with her caring palms,
lulled me to a slumber, so deep...




",Nature
Inner Peace,"The wind whistles past my ears.
Closing my eyes, I lose all my fears.
The waves crash into the rocks.
Out here there is no time on my clock.

The serenity I feel here just soothes my mind.
A peaceful day so hard to find.
The breeze just calms my soul.
Helps me think about what is my life's goal. 

I then look out over the ocean,
And it feels like my life has lost its commotion. 
The sun sets down over the clouds.
But the orange glow around makes me proud.

As the night draws near.
I feel like where I need to be is here.
The soothing nature this afternoon brings
Just feels like such a beautiful thing. 

I sit and wonder where life will go,
But right now all I want is for time to slow.
To enjoy this moment and feel free,
To clear my mind and find some glee.

It's days like these I truly treasure.
Amazing nights and beautiful weather.
It may not seem like much.
But it's moments like these I want to clutch.

For once I feel like life is bliss.
So many hard days in which my happiness was missed. 
I could get lost listening to the waves.
Listening to the birds and watching how the clouds behave.

I could close my eyes and fade into the night.
The tranquility I feel helps me win the fight.
As the waves keep crashing into the rocks,
I feel the happiness in my heart become unlocked.

The day is drawing to a close.
The peacefulness I feel right now I'll only know.
Right now my mind is finally clear.
It's time to go as the night draws near.

",Nature
The Fires Of Winter,"As I walk on the winding path, 
The brisk air softly blows my hair,
Hitting my rosy cheeks
As silence fills the air.
The trees look like skeletons
Standing tall and covered in snow.
A deer pops out of the brush,
And I stop dead in my tracks
As it sprints across the path.
Its grand antlers and powerful legs are a blur.
Somehow in this barren country of snow,
The deer are the only ones who survive
While everyone else goes south. 
They scavenge, they stay, and they live.
They are the fighters of the winter.
As the deer travels out of my sight,
Tranquility overcomes me.
Silence fills the air again.
The wind softly blows my hair
And hits my rosy cheeks.
As I walk on the winding path,
I take in my surroundings and smile
",Nature
Thunderstorms,"My favourite type of weather
Is a thunderstorm for sure
Because when I'm at home
I feel quite secure.

Also the smell of outdoors
While one is taking place
Is beautiful enough
to put a smile on my face. 

I love to watch the rain 
strike some objects outside,
it is amazing to think
this miracle happens worldwide.

Another thing I love
Is feeling rain hit my skin
Little drops of heaven
Sinking to within.

I adore these storms
As they emerge from the sky
The clouds getting darker 
The wind whooshing by

Thunder and lightning
Rain coming down
Hitting the road 
making a sound

As I stare out my window
and watch the rain fall by
I wonder what could of happened
To make God want to cry.
",Nature
I Long For The Wild,"I long for the wild
To feel the wind upon my skin like a thousand soft kisses, 
it's fingers through my hair like a passionate lover.
I long for the wild
The sweet smell of pine, dirt under my feet,
Quakies, quivering, as their branches dance on the breeze.
I long for the wild
The roar of a river,
the sound of water making love to the shore line.
I long for the wild
To lay upon velvety grass, bathing in the soft glow of moonlight,
gazing up at the stars, to feel small.
I long for the wild
It calls to me like a mother calls her child to come home.
",Nature
Nature's Way,"Is there anything as tranquil
As a brightly glowing jonquil
That stands in sweet serenity,
A part of nature's tapestry?

A flower that never questions why,
The rivers flow and birds will fly,
Content to fill part of the plan,
To beautify the world of man.

If we would only realize
We, too, can help to glorify,
To find within each passing day
A happiness along the way.

A loving hug or cheerful smile
Can help to make a life worthwhile.
If all would lend a helping hand,
We soon would have a world so grand.
",Nature
